Task ID,Filename
CDXMXRMKETEP5WCXJ4P3EIKD,Sentinel_NDVI-MAX_SR_CloudFree_crop20231001-20231030_run20231031quadrant1
JGAELVAG7XSDK5KM6BDJERWS,Sentinel_NDVI-MAX_SR_CloudFree_crop20231001-20231030_run20231031quadrant2
L2INOO2BA3LSN6D2QHRTGHLQ,Sentinel_NDVI-MAX_SR_CloudFree_crop20231001-20231030_run20231031quadrant3
EN4FLCGX3ZYKJB3MKF74Y6YU,Sentinel_NDVI-MAX_SR_CloudFree_crop20231001-20231030_run20231031quadrant4
JGO7MKJKOJFMDBCK7JK7TLV4,S2_L2A_SR_20231030T101141_20231030T101135_10M_run20231031quadrant1
7OSGUT3WDP3OVI7FS6LFE6OO,S2_L2A_SR_20231030T101141_20231030T101135_10M_run20231031quadrant2
WULEX2O5BYWOBZ6JH6ZYWDTD,S2_L2A_SR_20231030T101141_20231030T101135_10M_run20231031quadrant3
PPODLQULM7XKHUOFY57MQJV7,S2_L2A_SR_20231030T101141_20231030T101135_10M_run20231031quadrant4
4BTFMS2OZZ4JXZGSNM2PZSQR,S2_L2A_SR_20231030T101141_20231030T101135_QA60_run20231031quadrant1
MJRMRL2CITHNCO7HO7L5EXZ4,S2_L2A_SR_20231030T101141_20231030T101135_QA60_run20231031quadrant2
2SJBHV5LM5LCO74KO5W7DVJK,S2_L2A_SR_20231030T101141_20231030T101135_QA60_run20231031quadrant3
YYJHTCU3WBC3XH3ZAMUR5JXH,S2_L2A_SR_20231030T101141_20231030T101135_QA60_run20231031quadrant4
ISJK72LE4X4DXMK46M4UJAJR,Sentinel_NDVI-MAX_SR_CloudFree_crop20231003-20231031_run20231101quadrant1
M6Y2JHARNQ6ZCDYRK5XOESEJ,Sentinel_NDVI-MAX_SR_CloudFree_crop20231003-20231031_run20231101quadrant2
WJXJRZL3S3BYR6ICGPQDTSGG,Sentinel_NDVI-MAX_SR_CloudFree_crop20231003-20231031_run20231101quadrant3
KNXTGJ75QTMW6Y7J3MSKCC7A,Sentinel_NDVI-MAX_SR_CloudFree_crop20231003-20231031_run20231101quadrant4
TQDXPDO4LTDETP7XLS43T6MA,S2_L2A_SR_20231031T103059_20231031T103059_10M_run20231101quadrant1
ZXDGM4BNE25TPIMS4N7MXBYI,S2_L2A_SR_20231031T103059_20231031T103059_10M_run20231101quadrant2
SIAVODOGIDGRTNKSHDZPLGPC,S2_L2A_SR_20231031T103059_20231031T103059_10M_run20231101quadrant3
BB3EW3CWBCVSQJMT2AGVSKVG,S2_L2A_SR_20231031T103059_20231031T103059_10M_run20231101quadrant4
EHT6HQ6EIC3RS4AZRQQZWCEF,S2_L2A_SR_20231031T103059_20231031T103059_QA60_run20231101quadrant1
TOAYLS2I6WKTE3JBXJI4JLYE,S2_L2A_SR_20231031T103059_20231031T103059_QA60_run20231101quadrant2
F3VRHBXVMUHNQCK4BKXDBIIJ,S2_L2A_SR_20231031T103059_20231031T103059_QA60_run20231101quadrant3
PSWFHRHCUH5DDRFMY5DTNWGP,S2_L2A_SR_20231031T103059_20231031T103059_QA60_run20231101quadrant4
QRKRUOVLDG3QYLOVFWNCPLWG,S2_L1C_TOA_S2-L1C_Mosaic_10M_run20230601quadrant1
4DEQHMBTVXGTVG2YZSHRNAE6,S2_L1C_TOA_S2-L1C_Mosaic_10M_run20230601quadrant2
G2GNIJFJTRIRS7R6WMYILHOT,S2_L1C_TOA_S2-L1C_Mosaic_10M_run20230601quadrant3
Z3AM5EMOK22YJ7ONPZCTES6V,S2_L1C_TOA_S2-L1C_Mosaic_10M_run20230601quadrant4
5QF2FZDHPDDZEIUJTGPHW2T7,S2_L1C_TOA_S2-L1C_Mosaic_10M_run20230601quadrant1
GKXTYUPXEN5ORLO7U3ZKIMDI,S2_L1C_TOA_S2-L1C_Mosaic_10M_run20230601quadrant2
RWCEZYZ33FWENLPAYLYUECBG,S2_L1C_TOA_S2-L1C_Mosaic_10M_run20230601quadrant3
LOC6X5RGV5GCTO65NCVMZDHI,S2_L1C_TOA_S2-L1C_Mosaic_10M_run20230601quadrant4
ZY44H6UPUM7SBCBCY3JSA556,S2_L1C_TOA_S2-L1C_Mosaic_mask60_run20230601quadrant1
35OQETGXCDLKDSXF2OGG4NG2,S2_L1C_TOA_S2-L1C_Mosaic_mask60_run20230601quadrant2
63SCHEKZIFCMMPUNI3ZNXAKL,S2_L1C_TOA_S2-L1C_Mosaic_mask60_run20230601quadrant3
6WORXGPQIFC5T7JFQ6POYVSI,S2_L1C_TOA_S2-L1C_Mosaic_mask60_run20230601quadrant4
QOPQN2IPKUWIGNYKGOOZKEZE,Sentinel_NDVI-MAX_TOA_CloudFree_crop20230605-20230605_run20230605quadrant1
3DQO4ZIYDHZVJ5RU752QW7CF,Sentinel_NDVI-MAX_TOA_CloudFree_crop20230605-20230605_run20230605quadrant2
UJ32MQYU6NHYI7OQ7Q56WP2N,Sentinel_NDVI-MAX_TOA_CloudFree_crop20230605-20230605_run20230605quadrant3
KWC3CZYZHJXBTUIELS6NDGQ6,Sentinel_NDVI-MAX_TOA_CloudFree_crop20230605-20230605_run20230605quadrant4
XPM3N2OJNVK5NSIL2GV64RXM,S2_L1C_TOA_S2-L1C_Mosaic_10M_run20230605quadrant1
CFWNDQ5Q3FYH7MTIKCXXWSLK,S2_L1C_TOA_S2-L1C_Mosaic_10M_run20230605quadrant2
5UTEERZKUSQWBOHSWNDOUA3P,S2_L1C_TOA_S2-L1C_Mosaic_10M_run20230605quadrant3
254RCLH43EUNXRA5F6MSN5AS,S2_L1C_TOA_S2-L1C_Mosaic_10M_run20230605quadrant4
VAXBC3PEQE5RK4E3IBC2K5FX,S2_L1C_TOA_S2-L1C_Mosaic_mask60_run20230605quadrant1
V6BLZIXAOAMML2MXRLAASRJ6,S2_L1C_TOA_S2-L1C_Mosaic_mask60_run20230605quadrant2
MHCSMBW3KSUCC4FHAJZ77EQ3,S2_L1C_TOA_S2-L1C_Mosaic_mask60_run20230605quadrant3
OIBRW67VUPGMO4VALOXDEKWU,S2_L1C_TOA_S2-L1C_Mosaic_mask60_run20230605quadrant4
SPBFE3GLLNMGUARHTMKLK5EX,Sentinel_NDVI-MAX_TOA_CloudFree_crop20230710-20230710_run20230710quadrant1
RDTXS6RJ6ZZFZQTUUG3NSSPC,Sentinel_NDVI-MAX_TOA_CloudFree_crop20230710-20230710_run20230710quadrant2
BBRS7XR2YLETC5E66W5OG7N5,Sentinel_NDVI-MAX_TOA_CloudFree_crop20230710-20230710_run20230710quadrant3
4A7M766ON6BZTFSGIZCGMDNB,Sentinel_NDVI-MAX_TOA_CloudFree_crop20230710-20230710_run20230710quadrant4
OHTADL2UTFTV65Y3RLCLUHSL,S2_L1C_TOA_S2-L1C_Mosaic_10M_run20230710quadrant1
FO5CQAUGZ6F75BFTTH2PPJWI,S2_L1C_TOA_S2-L1C_Mosaic_10M_run20230710quadrant2
F6EKATKAIJJVMVCXM7RQ74MP,S2_L1C_TOA_S2-L1C_Mosaic_10M_run20230710quadrant3
YMWT6KVJVKLFTLUKUYIG3RLI,S2_L1C_TOA_S2-L1C_Mosaic_10M_run20230710quadrant4
HRDT6S77255QA47BZE7P67YV,S2_L1C_TOA_S2-L1C_Mosaic_mask60_run20230710quadrant1
PUQINW56LGWLBHNM3DGJBZSU,S2_L1C_TOA_S2-L1C_Mosaic_mask60_run20230710quadrant2
TMHM7PUEEWNLCZSU4TT5GGHQ,S2_L1C_TOA_S2-L1C_Mosaic_mask60_run20230710quadrant3
QXABRRQMNXSWYXTN6BPU5YQC,S2_L1C_TOA_S2-L1C_Mosaic_mask60_run20230710quadrant4
5JYYYZ3M6CLXHHH2QDKN5RJA,Sentinel_NDVI-MAX_TOA_CloudFree_crop20230601-20230628_run20230630quadrant1
OSVVDTSQ47ZISJ4B2BFKBVK3,Sentinel_NDVI-MAX_TOA_CloudFree_crop20230601-20230628_run20230630quadrant2
ILL4OT2QKV6HOM7VVREULAPL,Sentinel_NDVI-MAX_TOA_CloudFree_crop20230601-20230628_run20230630quadrant3
7EDI3OF5BIVNEWYXQ4PLYTR4,Sentinel_NDVI-MAX_TOA_CloudFree_crop20230601-20230628_run20230630quadrant4
RTCIXBYYVJXYYUHFJANLSHHF,Sentinel_NDVI-MAX_TOA_CloudFree_crop20230601-20230628_run20230630quadrant1
S5DFRILVKIVHDGYV7OPOMGW7,Sentinel_NDVI-MAX_TOA_CloudFree_crop20230601-20230628_run20230630quadrant2
L4FXHHOFHKGDDIOXOVN5TNYY,Sentinel_NDVI-MAX_TOA_CloudFree_crop20230601-20230628_run20230630quadrant3
XC24XA2NH4ZDWUNSC25OP4FT,Sentinel_NDVI-MAX_TOA_CloudFree_crop20230601-20230628_run20230630quadrant4
